extension,mime_type,magic_bytes,offset,has_wildcard,signature_index,description,group,execution_risk
,application/octet-stream,23 21,0,FALSE,1,Script or data to be passed to the program following the shebang (#!),other,none
cwk,application/octet-stream,02 00 5A 57 52 54 00 00 00 00 00 00 00 00 00 00,0,FALSE,1,Claris Works word processing doc,other,none
cwk,application/octet-stream,05 07 00 00 42 4F 42 4F,0,FALSE,2,Claris Works word processing doc,other,none
cwk,application/octet-stream,05 07 00 00 00 00 00 00,0,FALSE,3,Claris Works word processing doc,other,none
cwk,application/octet-stream,00 00 00 00 00 01,0,FALSE,4,Claris Works word processing doc,other,none
cwk,application/octet-stream,06 07 E1 00 42 4F 42 4F,0,FALSE,5,Claris Works word processing doc,other,none
cwk,application/octet-stream,06 07 E1 00 00 00 00 00,0,FALSE,6,Claris Works word processing doc,other,none
wk1,application/octet-stream,00 00 02 00 06 04 06 00 08 00 00 00 00 00,0,FALSE,1,Lotus 1-2-3 spreadsheet (v1) file,other,none
wk3,application/octet-stream,00 00 1A 00 00 10 04 00 00 00 00 00,0,FALSE,1,Lotus 1-2-3 spreadsheet (v3) file,other,none
wk4,application/octet-stream,00 00 1A 00 02 10 04 00 00 00 00 00,0,FALSE,1,"Lotus 1-2-3 spreadsheet (v4, v5) file",other,none
wk5,application/octet-stream,00 00 1A 00 02 10 04 00 00 00 00 00,0,FALSE,1,"Lotus 1-2-3 spreadsheet (v4, v5) file",other,none
123,application/octet-stream,00 00 1A 00 05 10 04,0,FALSE,1,Lotus 1-2-3 spreadsheet (v9) file,other,none
,application/octet-stream,00 00 03 F3,0,FALSE,1,Amiga Hunk executable file,other,none
qxd,application/octet-stream,00 00 49 49 58 50 52,0,FALSE,1,Quark Express document,other,none
qxd,application/octet-stream,00 00 4D 4D 58 50 52,0,FALSE,2,Quark Express document,other,none
psafe3,application/octet-stream,50 57 53 33,0,FALSE,1,Password Gorilla Password Database,other,none
pcap,application/octet-stream,D4 C3 B2 A1,0,FALSE,1,Libpcap File Format,other,none
pcap,application/octet-stream,A1 B2 C3 D4,0,FALSE,2,Libpcap File Format,other,none
pcap,application/octet-stream,4D 3C B2 A1,0,FALSE,3,Libpcap File Format,other,none
pcap,application/octet-stream,A1 B2 3C 4D,0,FALSE,4,Libpcap File Format,other,none
pcapng,application/octet-stream,0A 0D 0D 0A,0,FALSE,1,PCAP Next Generation Dump File Format,other,none
rpm,application/octet-stream,ED AB EE DB,0,FALSE,1,RedHat Package Manager (RPM) package,other,none
sqlitedb,application/octet-stream,53 51 4C 69 74 65 20 66,0,FALSE,1,SQLite Database,other,none
sqlitedb,application/octet-stream,6F 72 6D 61 74 20 33 00,0,FALSE,2,SQLite Database,other,none
sqlite,application/octet-stream,53 51 4C 69 74 65 20 66,0,FALSE,1,SQLite Database,other,none
sqlite,application/octet-stream,6F 72 6D 61 74 20 33 00,0,FALSE,2,SQLite Database,other,none
db,application/octet-stream,53 51 4C 69 74 65 20 66,0,FALSE,1,SQLite Database,other,none
db,application/octet-stream,6F 72 6D 61 74 20 33 00,0,FALSE,2,SQLite Database,other,none
bin,application/octet-stream,53 50 30 31,0,FALSE,1,Amazon Kindle Update Package,other,none
bin,application/octet-stream,7F 45 4C 46,0,FALSE,2,Amazon Kindle Update Package,other,none
wad,application/octet-stream,49 57 41 44,0,FALSE,1,internal WAD (main resource file of Doom ),other,none
